소속 ID,종류,지역,야구부 평판,최초 요청 이름,v0.3 이름,적용 이름,변경 사유,이번 확인 범위,이번 확인 출처,v0.3 수정 사유
hs000,high-school,서울,명문,한성고,한성청람고,한양고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%ED%95%9C%EC%96%91%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs001,high-school,서울,명문,한국대사대부속고,한국청람대사대부속고,민국대사대부속고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%AF%BC%EA%B5%AD%EB%8C%80%EC%82%AC%EB%8C%80%EB%B6%80%EC%86%8D%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,가상 본교 이름 변경에 맞춘 연동 수정
hs002,high-school,서울,명문,광암고,광암고,광암고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs003,high-school,경기·강원,명문,충정고,충정고,충정고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs004,high-school,경기·강원,명문,평택첨단고,평택첨단고,평택첨단고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs005,high-school,인천,명문,인하고,인하고,인하고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs006,high-school,인천,명문,강화고,강화해울고,강화해양과학고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B0%95%ED%99%94%ED%95%B4%EC%96%91%EA%B3%BC%ED%95%99%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs007,high-school,대전·충청·전북,명문,북영고,북영고,북영고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs008,high-school,대전·충청·전북,명문,전주일고,전주일고,전주일고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs009,high-school,대구·경북,명문,달구벌고,달구벌청람고,대구달빛고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%8C%80%EA%B5%AC%EB%8B%AC%EB%B9%9B%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs010,high-school,경남,명문,경남중앙고,경남중앙고,경남중앙고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs011,high-school,부산·울산,명문,부산해사고,부산해사과학고,부산해사과학고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,공개 학교 명칭 또는 지역 약칭과 충돌
hs012,high-school,부산·울산,명문,동래고,동래해울고,장산고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%9E%A5%EC%82%B0%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs013,high-school,광주·전남·제주,명문,송정고,송정고,송정고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs014,high-school,광주·전남·제주,명문,광주체육고,광주청람체육고,광산체육고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B4%91%EC%82%B0%EC%B2%B4%EC%9C%A1%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs015,high-school,서울,강호,동곡고,동곡고,동곡고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs016,high-school,서울,강호,서초상업고,서초상업고,서초상업고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs017,high-school,서울,강호,서울AI고,서울AI고,서울AI고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs018,high-school,서울,강호,신명고,신명서림고,신영고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%8B%A0%EC%98%81%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs019,high-school,경기·강원,강호,명강고,명강고,명강고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs020,high-school,경기·강원,강호,광명고,광명해울고,광명상연고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B4%91%EB%AA%85%EC%83%81%EC%97%B0%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs021,high-school,경기·강원,강호,하남하이텍고,하남하이텍고,하남하이텍고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs022,high-school,경기·강원,강호,화성고,화성별하고,화성인터넷고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%ED%99%94%EC%84%B1%EC%9D%B8%ED%84%B0%EB%84%B7%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs023,high-school,경기·강원,강호,강릉고,강릉솔바람고,강릉솔바람고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,공개 학교 명칭 또는 지역 약칭과 충돌
hs024,high-school,인천,강호,영종고,영종하늘빛고,영종국제고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%98%81%EC%A2%85%EA%B5%AD%EC%A0%9C%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs025,high-school,인천,강호,미추홀예술고,미추홀예술고,미추홀예술고,v0.3 이름 유지,v0.3 확인 범위 유지,사용자 수정안 / 이전 audit 기록,원안 유지
hs026,hs-club,대전·충청·전북,강호,계룡고,계룡청람고,계룡BC,사용자 지정: 고교에서 고교 연령 BC로 변경,club-outside-school-register,NEIS 학교정보 대상 외,공개 학교 명칭 또는 지역 약칭과 충돌
hs027,hs-club,대전·충청·전북,강호,유성고,유성별하고,유성구드림BC,사용자 지정: 고교에서 고교 연령 BC로 변경,club-outside-school-register,NEIS 학교정보 대상 외,공개 학교 명칭 또는 지역 약칭과 충돌
