id,kind,region,before,after
hs001,high-school,서울,민국대사대부속고,흥인고
hs004,high-school,경기·강원,평택첨단고,서평고
hs006,high-school,인천,강화해양과학고,삼랑고
hs009,high-school,대구·경북,대구달빛고,수창고
hs010,high-school,경남,경남중앙고,용지고
hs011,high-school,부산·울산,부산해사과학고,초량고
hs014,high-school,광주·전남·제주,광산체육고,무진고
hs017,high-school,서울,서울AI고,종암고
hs020,high-school,경기·강원,광명상연고,철산고
hs021,high-school,경기·강원,하남하이텍고,덕풍고
hs022,high-school,경기·강원,화성인터넷고,매송고
hs023,high-school,경기·강원,강릉솔바람고,포남고
hs024,high-school,인천,영종국제고,운서고
hs025,high-school,인천,미추홀예술고,문학고
hs030,high-school,대구·경북,달서기계과학고,월배고
hs031,high-school,대구·경북,포항해사고,장량고
hs034,high-school,경남,남해수산고,미조고
hs036,high-school,경남,창원해사고,상남고
hs037,high-school,경남,김해항공고,주촌고
hs040,high-school,부산·울산,울산석유화학고,달동고
hs044,high-school,광주·전남·제주,다도해고,보길고
hs045,high-school,광주·전남·제주,순천만고,조례고
hs046,high-school,서울,서울전자고,염리고
hs047,high-school,서울,한산주고,방이고
hs048,high-school,서울,휘성고,이문고
hs054,high-school,경기·강원,해리스고,지평고
hs055,high-school,경기·강원,분당교통고,탄천고
hs056,high-school,인천,청라해운고,경서고
hs057,high-school,인천,아라빛고,마전고
hs059,high-school,대전·충청·전북,익산농고,금마고
hs061,high-school,대전·충청·전북,세종컴퓨터과학고,연기고
hs064,high-school,대구·경북,송림반도체고,인동고
hs065,high-school,대구·경북,봉추고,용상고
hs066,high-school,경남,진해해울고,웅천고
hs072,high-school,부산·울산,부산진영고,범천고
hs073,high-school,부산·울산,사직체육고,연산고
hs076,high-school,광주·전남·제주,광주아이티고,운암고
hs077,high-school,서울,한국디자인고,망원고
hs078,high-school,서울,배전고,염창고
hs081,high-school,경기·강원,단오고,화촌고
hs083,high-school,경기·강원,신월향고,적성고
hs085,high-school,인천,월미해양고,만석고
hs095,high-school,경남,합포상명고,합포고
hs096,high-school,부산·울산,장산자동차고,반송고
hs097,high-school,부산·울산,부울대부속고,대송고
hs098,high-school,부산·울산,부산대중문화예술고,일광고
hs102,high-school,광주·전남·제주,목포해양과학고,용해고
hs109,high-school,경남,거제푸른고,고현고
hs110,high-school,대전·충청·전북,충청누리고,성거고
hs112,high-school,부산·울산,부산청해고,감천고
hs113,high-school,부산·울산,울산온빛고,호계고
hs114,high-school,인천,인천항만고,송현고
hs116,high-school,경기·강원,춘천물빛고,후평고
hs117,high-school,경기·강원,수원새빛고,구운고
hs118,high-school,대구·경북,경북늘봄고,안계고
hs120,high-school,광주·전남·제주,전남푸른고,남평고
hs027,hs-club,대전·충청·전북,유성구드림BC,유성BC
hs032,hs-club,대구·경북,동경BC,경산BC
hs050,hs-club,서울,조은BC,마포BC
hs080,hs-club,서울,한웅BC,노원BC
hs087,hs-club,대전·충청·전북,청주별하BC,청원BC
hs091,hs-club,대구·경북,선덕BC,칠곡BC
hs100,hs-club,광주·전남·제주,이순신BC,여수BC
hs107,hs-club,서울,한강드림BC,강서BC
hs111,hs-club,대전·충청·전북,전주하늘BC,완주BC
hs115,hs-club,인천,서해드림BC,부평BC
hs119,hs-club,대구·경북,대구청솔BC,달성BC
hs121,hs-club,광주·전남·제주,제주한빛BC,애월BC
uni00,college,서울,민국대,숭인대
uni01,college,서울,연서대,혜화대
uni03,college,대구·경북,성운과학기술대,팔공대
uni04,college,인천,인천외국어대,계양대
uni05,college,경남,동남예대,촉석대
uni06,college,부산·울산,동성대,금정대
uni09,college,광주·전남·제주,광주첨단과학대,양림대
uni11,college,인천,인천해양대,주안대
uni13,college,서울,민국사이버대,노원대
uni15,college,대전·충청·전북,한국축산대,웅진대
uni16,college,경기·강원,강원미래대,치악대
uni17,college,대전·충청·전북,충청한빛대,상당대
uni18,college,경남,남해누리대,금관대
uni19,college,광주·전남·제주,제주푸른대,삼다대
ov00,overseas-college,미국,미국 미네소타공대,미국 노스스타주립대
ov03,overseas-college,미국,미국 롱아일랜드하버대,미국 하버포인트대
ov04,overseas-college,미국,미국 시카고허드슨대,미국 그랜드리버대
ov05,overseas-college,캐나다,캐나다 토론토공대,캐나다 레이크쇼어대
ov06,overseas-college,일본,일본 하네다대,일본 도난산업대
ov07,overseas-college,일본,일본 미나미도쿄대,일본 사가미국제대
ov08,overseas-college,대만,대만 타이중공대,대만 중부과기대
