소속 ID,종류,지역,야구부 평판,최초 요청 이름,v0.3 이름,적용 이름,변경 사유,이번 확인 범위,이번 확인 출처,v0.3 수정 사유
hs000,high-school,서울,명문,한성고,한성청람고,한양고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%ED%95%9C%EC%96%91%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs001,high-school,서울,명문,한국대사대부속고,한국청람대사대부속고,민국대사대부속고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%AF%BC%EA%B5%AD%EB%8C%80%EC%82%AC%EB%8C%80%EB%B6%80%EC%86%8D%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,가상 본교 이름 변경에 맞춘 연동 수정
hs006,high-school,인천,명문,강화고,강화해울고,강화해양과학고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B0%95%ED%99%94%ED%95%B4%EC%96%91%EA%B3%BC%ED%95%99%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs009,high-school,대구·경북,명문,달구벌고,달구벌청람고,대구달빛고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%8C%80%EA%B5%AC%EB%8B%AC%EB%B9%9B%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs012,high-school,부산·울산,명문,동래고,동래해울고,장산고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%9E%A5%EC%82%B0%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs014,high-school,광주·전남·제주,명문,광주체육고,광주청람체육고,광산체육고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B4%91%EC%82%B0%EC%B2%B4%EC%9C%A1%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs018,high-school,서울,강호,신명고,신명서림고,신영고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%8B%A0%EC%98%81%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs020,high-school,경기·강원,강호,광명고,광명해울고,광명상연고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B4%91%EB%AA%85%EC%83%81%EC%97%B0%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs022,high-school,경기·강원,강호,화성고,화성별하고,화성인터넷고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%ED%99%94%EC%84%B1%EC%9D%B8%ED%84%B0%EB%84%B7%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs024,high-school,인천,강호,영종고,영종하늘빛고,영종국제고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%98%81%EC%A2%85%EA%B5%AD%EC%A0%9C%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs026,hs-club,대전·충청·전북,강호,계룡고,계룡청람고,계룡BC,사용자 지정: 고교에서 고교 연령 BC로 변경,club-outside-school-register,NEIS 학교정보 대상 외,공개 학교 명칭 또는 지역 약칭과 충돌
hs027,hs-club,대전·충청·전북,강호,유성고,유성별하고,유성구드림BC,사용자 지정: 고교에서 고교 연령 BC로 변경,club-outside-school-register,NEIS 학교정보 대상 외,공개 학교 명칭 또는 지역 약칭과 충돌
hs028,high-school,대전·충청·전북,강호,대청고,대청해울고,대전대영고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%8C%80%EC%A0%84%EB%8C%80%EC%98%81%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs030,high-school,대구·경북,강호,달서고,달서별하고,달서기계과학고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EB%8B%AC%EC%84%9C%EA%B8%B0%EA%B3%84%EA%B3%BC%ED%95%99%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs032,hs-club,대구·경북,강호,경주고BC,경주별하BC,동경BC,사용자 최종 지정 이름,club-outside-school-register,NEIS 학교정보 대상 외,공개 학교 명칭 또는 지역 약칭과 충돌
hs036,high-school,경남,강호,창원고,창원해울고,창원해사고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%B0%BD%EC%9B%90%ED%95%B4%EC%82%AC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs037,high-school,경남,강호,김해고,김해청람고,김해항공고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EA%B9%80%ED%95%B4%ED%95%AD%EA%B3%B5%EC%97%85%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs045,high-school,광주·전남·제주,강호,순천팔마고,순천팔마청람고,순천만고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%88%9C%EC%B2%9C%EB%A7%8C%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs047,high-school,서울,중견,경성고,경성별하고,한산주고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%ED%95%9C%EC%82%B0%EC%A3%BC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
hs053,high-school,경기·강원,중견,용문고,용문청람고,용현고,사용자 최종 지정 이름,not-returned,https://open.neis.go.kr/hub/schoolInfo?Type=json&SCHUL_NM=%EC%9A%A9%ED%98%84%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,공개 학교 명칭 또는 지역 약칭과 충돌
